代號,名稱,收盤價,月平均價
6191,精成科,12.85,12.42,
6192,巨路,66.0,64.86,
6196,帆宣,51.2,48.42,
6197,佳必琪,27.95,27.43,
6201,亞弘電,29.5,29.49,
6202,盛群,57.7,57.76,
6205,詮欣,21.9,21.39,
6206,飛捷,70.0,70.02,
6209,今國光,28.75,25.53,
6213,聯茂,42.25,44.65,
6214,精誠,61.3,62.52,
6215,和椿,13.25,12.88,
6216,居易,27.0,26.9,
6224,聚鼎,54.3,53.24,
6225,天瀚,3.02,3.72,
6226,光鼎,9.03,8.83,
6230,超眾,92.3,103.38,
6235,華孚,19.15,17.35,
6239,力成,68.8,68.96,
6243,迅杰,10.55,10.45,
6251,定穎,8.8,8.16,
6257,矽格,28.4,28.84,
6269,台郡,77.7,79.67,
6271,同欣電,105.5,101.56,
6277,宏正,81.0,80.62,
6278,台表科,35.7,35.64,
6281,全國電,62.2,62.28,
6282,康舒,18.15,18.31,
6283,淳安,32.5,34.69,
6285,啟碁,71.1,73.14,
6288,聯嘉,18.75,16.62,
6289,華上,1.27,1.25,
6405,悅城,14.15,13.1,
6409,旭隼,520.0,511.03,
6412,群電,43.0,43.75,
6414,樺漢,229.5,224.24,
6415,矽力-KY,390.5,430.94,
6416,瑞祺電通,81.3,79.41,
6431,光麗-KY,13.8,13.09,
6442,光聖,34.15,30.94,
6443,元晶,7.12,6.21,
6449,鈺邦,30.1,29.89,
6451,訊芯-KY,59.6,61.34,
6452,康友-KY,162.0,151.47,
6456,GIS-KY,89.7,96.02,
6464,台數科,--,113.31,
6477,安集,21.6,19.43,
6504,南六,166.0,161.29,
6505,台塑化,113.5,116.21,
6525,捷敏-KY,66.1,62.38,
6531,愛普,44.9,44.6,
6533,晶心科,68.0,68.88,
6541,泰福-KY,60.4,56.75,
6552,易華電,92.0,89.67,
6573,虹揚-KY,23.9,24.85,
6579,研揚,72.0,75.35,
6581,鋼聯,87.5,89.27,
6582,申豐,48.2,47.7,
6591,動力-KY,44.5,46.02,
6605,帝寶,69.5,68.88,
6625,必應,52.3,51.41,
6641,基士德-KY,66.7,64.9,
6666,羅麗芬-KY,136.0,139.1,
8011,台通,16.8,16.24,
8016,矽創,93.1,91.51,
8021,尖點,18.2,17.95,
8028,昇陽半導體,31.75,29.98,
8033,雷虎,7.82,7.99,
8039,台虹,34.65,33.52,
8046,南電,29.8,29.63,
8070,長華,135.0,134.26,
8072,陞泰,21.25,20.72,
8081,致新,62.1,61.48,
8101,華冠,3.31,3.26,
8103,瀚荃,23.75,23.54,
8105,凌巨,9.51,9.52,
8110,華東,10.2,10.42,
8112,至上,28.8,28.81,
8114,振樺電,91.2,94.74,
8131,福懋科,31.8,31.74,
